code,city,country,lat,lon
TYO,TOKYO,JAPAN,35.68,139.76
AKL,AUCKLAND,NEW ZEALAND,-36.85,174.78
BKK,BANGKOK,THAILAND,13.75,100.48
DEL,DELHI,INDIA,29.01,77.38
SIN,SINGAPORE,SINGAPOR,1.36,103.75
BSB,BRASILIA,BRAZIL,-15.67,-47.43
RIO,RIO DE JANEIRO,BRAZIL,-22.90,-43.24
YTO,TORONTO,CANADA,43.64,-79.40
SEA,SEATTLE,USA,47.61,-122.33
DEL,Delhi, India,28.613939,77.209021
KHO,Khormabad, Iran, 33.464683, 48.338964
CDMX, Mexico City, Mexico, 19.432608, -99.133208
CLG, Calgary, Canada, 51.048615, -114.070846
SAF, Johannesburg, South Africa, -26.204103, 28.047305
AMS, Amsterdam, Netherlands, 52.370216, 4.895168
